file_dir,duration
/minioData/goodman/demand_noise/clip_10s/nriver_clip_1.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_2.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_4.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_6.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_7.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_9.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_10.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_11.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_12.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_13.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_15.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_16.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_17.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_18.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_20.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_21.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_22.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_23.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_24.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_25.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_26.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_28.wav,10
/minioData/goodman/demand_noise/clip_10s/nriver_clip_29.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_2.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_4.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_6.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_7.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_8.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_9.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_10.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_12.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_13.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_14.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_15.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_18.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_19.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_21.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_22.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_23.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_25.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_26.wav,10
/minioData/goodman/demand_noise/clip_10s/pcafeter_clip_28.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_0.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_1.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_2.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_3.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_4.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_5.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_6.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_7.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_8.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_9.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_10.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_11.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_12.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_13.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_14.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_15.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_16.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_17.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_18.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_20.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_21.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_22.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_26.wav,10
/minioData/goodman/demand_noise/clip_10s/ooffice_clip_27.wav,10
