file_dir,duration
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_100_250_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_050_010_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_100_225_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_045_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_100_235_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_050_075_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_100_140_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_335_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_050_145_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_100_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_085_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_190_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_050_340_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_050_070_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_050_265_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_070_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_050_230_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_000_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_100_355_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_165_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_255_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_000_265_1_azi_0.wav,1.3
/data/alice/rir/A_record/rir24k/B4_zhuoyue_meetingroom/center/200cm/200_050_190_1_azi_0.wav,1.3
